symbol,composite_score,alpha_factors_score,ml_features_score,technical_score,sentiment_score,ml_predictor_score,confidence,num_factors,weight,last_price,target_qty,current_qty,delta,side,order_status,order_id,reason
A,0.13224038849283096,0.25464243087336896,0.0,0.0,-0.23496573864878298,0.0,0.3333333333333333,90,0.0,144.245,0,0,0,hold,hold,,"No delta (current=0, target=0)"
AA,0.1246739793431965,0.2940125031477084,0.0,0.0,-0.383341592070339,0.0,0.3333333333333333,90,0.0,36.805,0,0,0,hold,hold,,"No delta (current=0, target=0)"
AAL,0.06737066416512794,0.21202264335342957,0.0,0.0,-0.3665852733997769,0.0,0.3333333333333333,90,0.0,12.425,0,0,0,hold,hold,,"No delta (current=0, target=0)"
AAME,-0.022994747208812148,0.1278630361420986,0.0,0.0,-0.4755680972615443,0.0,0.3333333333333333,88,0.0,2.6,0,0,0,hold,hold,,"No delta (current=0, target=0)"
AAOI,-0.07164405509774757,0.06586139941594746,0.0,0.0,-0.4841604186388326,0.0,0.3333333333333333,90,0.0,21.41,0,42,-42,sell,pending_new,e189046e-8951-4438-9154-e506bd1218e8,Rebalance: reducing from 42 to 0
AAON,0.010029759690610486,0.17205900735469892,0.0,0.0,-0.4760579833016547,0.0,0.3333333333333333,90,0.0,91.525,0,0,0,hold,hold,,"No delta (current=0, target=0)"
AAP,0.09645266935461602,0.16378691278293006,0.0,0.0,-0.10555006093032608,0.0,0.3333333333333333,90,0.0,49.89,0,0,0,hold,hold,,"No delta (current=0, target=0)"
AAPL,0.18635303832449984,0.278042577256737,0.0,0.0,-0.08871557847221154,0.0,0.3333333333333333,90,0.0,268.605,0,91,-91,sell,pending_new,b95b3268-825c-44e1-bc67-392100bd88df,Rebalance: reducing from 91 to 0
AAT,0.04455376282361665,0.09886068748096759,0.0,0.0,-0.1183670111484361,0.0,0.3333333333333333,90,0.0,18.88,0,0,0,hold,hold,,"No delta (current=0, target=0)"
AB,0.1527893697287123,0.22884132811321098,0.0,0.0,-0.0753665054247837,0.0,0.3333333333333333,89,0.0,39.13,0,41,-41,sell,pending_new,a0c7a3fa-a94b-494e-9d03-2717c6d5dcdc,Rebalance: reducing from 41 to 0
