symbol,alpha_factors_score,ml_features_score,technical_score,fundamental_score,sentiment_score,ml_predictor_score,composite_score,confidence,num_factors_computed
CDTG,0.07726384396469503,0.0,0.0,0.0,-0.9195035103010645,0.0,-0.17192799460174488,0.2857142857142857,87
CIGL,0.0571490263444773,0.0,0.0,0.0,-0.600829602692535,0.0,-0.10734563091477581,0.2857142857142857,88
DDI,0.2001709716202602,0.0,0.0,0.0,0.0,0.0,0.15012822871519516,0.2857142857142857,89
EM,0.17675023881964946,0.0,0.0,0.0,-0.15990609216427573,0.0,0.09258615607366814,0.2857142857142857,89
GDHG,0.23983255858546215,0.0,0.0,0.0,0.46845033047873,0.0,0.29698700155877916,0.2857142857142857,87
HUYA,0.1355516592165049,0.0,0.0,0.0,-0.11721237103262974,0.0,0.07236065165422122,0.2857142857142857,90
KC,0.2023829685085383,0.0,0.0,0.0,0.5000159072758276,0.0,0.2767912032003606,0.2857142857142857,90
LZMH,0.11120306300235455,0.0,0.0,0.0,0.05567485194209248,0.0,0.09732101023728904,0.2857142857142857,88
MOMO,0.1635537038843902,0.0,0.0,0.0,0.05778083196665835,0.0,0.13711048590495725,0.2857142857142857,90
NIU,0.11557689842962088,0.0,0.0,0.0,-0.49416921489535404,0.0,-0.03685962990162287,0.2857142857142857,90
PN,0.23304336311960053,0.0,0.0,0.0,0.7328102510028253,0.0,0.3579850850904068,0.2857142857142857,89
QFIN,0.14856501344296685,0.0,0.0,0.0,-0.7009159203406793,0.0,-0.06380522000294471,0.2857142857142857,90
SOS,0.03896072740713443,0.0,0.0,0.0,-0.7908981364768265,0.0,-0.16850398856385584,0.2857142857142857,89
TCOM,0.25877305863145794,0.0,0.0,0.0,-0.14094458187217435,0.0,0.15884364850554986,0.2857142857142857,90
VSA,0.06225080190464472,0.0,0.0,0.0,-0.8390480435678227,0.0,-0.16307390946347217,0.2857142857142857,89
WB,0.0900612169651815,0.0,0.0,0.0,-0.24079942142357527,0.0,0.0073460573679923,0.2857142857142857,90
AEHL,0.06281996975741544,0.0,0.0,0.0,-0.3438241603314574,0.0,-0.038841062764802786,0.2857142857142857,89
BQ,0.06220251312509497,0.0,0.0,0.0,-0.584744905750177,0.0,-0.09953434159372306,0.2857142857142857,88
CHA,0.028811564423344996,0.0,0.0,0.0,-0.3269644866803242,0.0,-0.06013244835257231,0.2857142857142857,90
CNTB,0.5617011615333697,0.0,0.0,0.0,0.9998553345388267,0.0,0.6712397047847339,0.2857142857142857,89
FBGL,0.20151439895024625,0.0,0.0,0.0,-0.1475840595847386,0.0,0.11423978431650002,0.2857142857142857,88
FLEX,0.19678470991222924,0.0,0.0,0.0,-0.10172206045642339,0.0,0.12215801732006608,0.2857142857142857,90
FTS,0.31090769408697466,0.0,0.0,0.0,-0.07959815892221006,0.0,0.21328123083467845,0.2857142857142857,90
GDTC,0.18492302074477127,0.0,0.0,0.0,-0.025900941460928556,0.0,0.13221703019334632,0.2857142857142857,88
GFAI,0.1341946650952721,0.0,0.0,0.0,-0.7996414572076151,0.0,-0.09926436548044976,0.2857142857142857,90
IH,0.28111247760739017,0.0,0.0,0.0,0.15446301650421856,0.0,0.24945011233159725,0.2857142857142857,86
INLF,0.12201112985976391,0.0,0.0,0.0,-0.12083525325107367,0.0,0.061299534082054505,0.2857142857142857,86
IQ,0.20620922187261306,0.0,0.0,0.0,0.34269490696545984,0.0,0.24033064314582478,0.2857142857142857,90
IX,0.3418992915478868,0.0,0.0,0.0,-0.05090769419343592,0.0,0.24369754511255612,0.2857142857142857,90
JKS,0.4022384003120735,0.0,0.0,0.0,0.09665548211570009,0.0,0.3258426707629802,0.2857142857142857,90
JXG,0.10789001216055083,0.0,0.0,0.0,-0.5518411053940636,0.0,-0.0570427672281028,0.2857142857142857,89
NISN,0.20503945207421923,0.0,0.0,0.0,0.23489275999054307,0.0,0.21250277905330017,0.2857142857142857,86
PTLE,0.2848440446594193,0.0,0.0,0.0,-0.5348969087870924,0.0,0.07990880629779136,0.2857142857142857,89
SMFG,0.3205920842732675,0.0,0.0,0.0,0.13199537632230354,0.0,0.27344290728552656,0.2857142857142857,90
SPHL,0.135127202463075,0.0,0.0,0.0,-0.3819142279551503,0.0,0.005866844858518656,0.2857142857142857,89
TANH,0.09887660757479137,0.0,0.0,0.0,-0.45506639810418137,0.0,-0.03960914384495184,0.2857142857142857,89
THCH,0.22602261683189737,0.0,0.0,0.0,-0.38245353289434686,0.0,0.07390357940033629,0.2857142857142857,87
TOUR,0.08673157906917525,0.0,0.0,0.0,-0.19056556774490963,0.0,0.01740729236565403,0.2857142857142857,88
UP,0.05173260892187462,0.0,0.0,0.0,-0.7529514613674358,0.0,-0.14943840865045302,0.2857142857142857,90
WRD,0.10173541731653339,0.0,0.0,0.0,-0.07556113730517489,0.0,0.05741127866110631,0.2857142857142857,90
API,0.07842318204215194,0.0,0.0,0.0,-0.16680150948107927,0.0,0.01711700916134413,0.2857142857142857,90
CAAS,0.12827843713208456,0.0,0.0,0.0,-0.3167713956558177,0.0,0.01701597893510898,0.2857142857142857,86
CAN,0.15819143032374652,0.0,0.0,0.0,-0.01926644175892316,0.0,0.1138269623030791,0.2857142857142857,90
