symbol,alpha_factors_score,ml_features_score,technical_score,fundamental_score,sentiment_score,ml_predictor_score,composite_score,confidence,num_factors_computed,fused_score,fused_confidence,sentiment_confidence,rl_score,rl_confidence
ALG,0.14663600642040286,0.0,0.0,0.0,0.5,0.0,0.3797881321651067,0.2857142857142857,89,0.5,0.6499999999999999,0.6,0.5,0.7
ARKOW,0.05924019030803871,0.0,0.0,0.0,0.5,0.0,0.36332904281930867,0.2857142857142857,86,0.5,0.6499999999999999,0.6,0.5,0.7
BIPC,0.25742314586182685,0.0,0.0,0.0,0.5,0.0,0.41971615695564374,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
CGNX,0.08364608623325924,0.0,0.0,0.0,0.5,0.0,0.38121249414977726,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
CPSL,0.2690427329391763,0.0,0.0,0.0,0.5,0.0,0.4126243748517199,0.2857142857142857,86,0.5,0.6499999999999999,0.6,0.5,0.7
HAS,0.31309057666855306,0.0,0.0,0.0,0.5,0.0,0.43667447886644584,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
MPC,0.22791966480037268,0.0,0.0,0.0,0.5,0.0,0.40778803949792536,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
PAYS,0.1594169818985368,0.0,0.0,0.0,0.5,0.0,0.39096794619975495,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
PRTS,0.09543456658290729,0.0,0.0,0.0,0.5,0.0,0.42643480578808113,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
RBBN,0.12871442940902353,0.0,0.0,0.0,0.5,0.0,0.39441796059242284,0.2857142857142857,90,0.5,0.6499999999999999,0.6,0.5,0.7
