symbol,alpha_factors_score,ml_features_score,technical_score,fundamental_score,sentiment_score,ml_predictor_score,composite_score,confidence,num_factors_computed
AEF,0.1376945891312608,0.0,0.0,0.0,-0.18506731310795732,0.0,0.057004113571456246,0.2857142857142857,90
AOD,0.18882597999713796,0.0,0.0,0.0,-0.02122823289428254,0.0,0.13631242677428285,0.2857142857142857,90
APM,0.18444865345608327,0.0,0.0,0.0,0.4755680972615443,0.0,0.2572285144074486,0.2857142857142857,89
ATAI,0.12467499451715046,0.0,0.0,0.0,-0.36428541303992407,0.0,0.0024348926278818105,0.2857142857142857,90
AWP,0.11930219317470231,0.0,0.0,0.0,-0.012969441357740108,0.0,0.08623428454159171,0.2857142857142857,90
BCS,0.2740961953501639,0.0,0.0,0.0,-0.2466085903547285,0.0,0.14391999892394078,0.2857142857142857,90
CLVT,0.17966726434456012,0.0,0.0,0.0,-0.19682765585203896,0.0,0.08554353429541035,0.2857142857142857,90
CMPS,0.19705059490872326,0.0,0.0,0.0,-0.02834779045839979,0.0,0.14070099856694251,0.2857142857142857,90
CNH,0.13415827409069,0.0,0.0,0.0,-0.24293694700061721,0.0,0.039884468817863186,0.2857142857142857,90
CVAC,0.17316203589093002,0.0,0.0,0.0,-0.07043819096050917,0.0,0.11226197917807022,0.2857142857142857,90
DAVA,0.06429794844543218,0.0,0.0,0.0,-0.49072143454675654,0.0,-0.07445689730261502,0.2857142857142857,90
ENGS,0.07811327989897335,0.0,0.0,0.0,-0.3788986095719105,0.0,-0.03613969246874763,0.2857142857142857,89
EVO,0.14889073000915157,0.0,0.0,0.0,-0.320566605231514,0.0,0.03152639619898517,0.2857142857142857,89
GSM,0.23803196583633757,0.0,0.0,0.0,0.361482404887281,0.0,0.2688945755990734,0.2857142857142857,90
IVA,0.17139245637605668,0.0,0.0,0.0,0.3188000894993113,0.0,0.20824436465687038,0.2857142857142857,89
LIVN,0.24363589307590772,0.0,0.0,0.0,-0.11860539708855815,0.0,0.15307557053479126,0.2857142857142857,90
PHVS,0.39374348982439944,0.0,0.0,0.0,0.049383191308931575,0.0,0.30765341519553246,0.2857142857142857,90
PMNT,0.21168242371892115,0.0,0.0,0.0,0.47811107876589193,0.0,0.2782895874806639,0.2857142857142857,88
RIG,0.33938429548511395,0.0,0.0,0.0,0.11790293594372964,0.0,0.2840139555997679,0.2857142857142857,90
