symbol,alpha_factors_score,ml_features_score,technical_score,fundamental_score,sentiment_score,ml_predictor_score,composite_score,confidence,num_factors_computed
AAOI,0.07361441928462766,0.0,0.0,0.0,-0.013153988922308305,0.0,0.051922317232893665,0.2857142857142857,90
ABTC,0.2227279950153268,0.0,0.0,0.0,0.00529095591812504,0.0,0.16836873524102636,0.2857142857142857,90
ACNT,0.34319851472663565,0.0,0.0,0.0,0.0842345746434959,0.0,0.2784575297058507,0.2857142857142857,90
ACRV,0.39888567629661825,0.0,0.0,0.0,0.6197737729784472,0.0,0.4541077004670755,0.2857142857142857,90
ACTG,0.32218984827511665,0.0,0.0,0.0,-0.16313823615285356,0.0,0.2008578271681241,0.2857142857142857,90
ACXP,0.1153973233682545,0.0,0.0,0.0,-0.6776138252885897,0.0,-0.08285546379595657,0.2857142857142857,89
ADPT,0.2574116033623992,0.0,0.0,0.0,0.34914765698990774,0.0,0.2803456167692764,0.2857142857142857,90
AIMD,0.14663955778357038,0.0,0.0,0.0,-0.7991132184001473,0.0,-0.08979863626235907,0.2857142857142857,89
AIOT,0.11493616112778014,0.0,0.0,0.0,-0.5079774328978957,0.0,-0.04079223737863883,0.2857142857142857,90
ALLO,0.20141927782846594,0.0,0.0,0.0,0.305093246190338,0.0,0.22733776991893398,0.2857142857142857,90
ALMU,0.03509693679125369,0.0,0.0,0.0,-0.22940142337413416,0.0,-0.03102765325009328,0.2857142857142857,90
ALNT,0.24141898090758124,0.0,0.0,0.0,-0.0029744112163963784,0.0,0.18032063287658684,0.2857142857142857,90
AMBA,0.3334812404725824,0.0,0.0,0.0,-0.075612978146302,0.0,0.2312076858178613,0.2857142857142857,90
AMLX,0.2768985056481913,0.0,0.0,0.0,0.6412285745391031,0.0,0.36798102287091927,0.2857142857142857,90
AMPL,0.2277426316232766,0.0,0.0,0.0,-0.44898271272174667,0.0,0.05856129553702077,0.2857142857142857,90
AMT,0.13676866179296282,0.0,0.0,0.0,-0.017668932400219217,0.0,0.09815926324466731,0.2857142857142857,90
ANEB,0.0716616047951229,0.0,0.0,0.0,-0.189971587045543,0.0,0.0062533068349564175,0.2857142857142857,87
APO,0.17907628226488323,0.0,0.0,0.0,-0.05551568894530601,0.0,0.12042828946233593,0.2857142857142857,90
ATO,0.2781229163297186,0.0,0.0,0.0,-0.11467480745516803,0.0,0.17992348538349692,0.2857142857142857,90
AUID,0.043284749854970966,0.0,0.0,0.0,-0.5989379404825937,0.0,-0.11727092272942023,0.2857142857142857,88
AVB,0.12046642819785316,0.0,0.0,0.0,-0.001694817878984271,0.0,0.08992611667864381,0.2857142857142857,90
AVTR,0.12437421138800123,0.0,0.0,0.0,-0.2866126222254337,0.0,0.02162750298464249,0.2857142857142857,90
AXP,0.19275990679047045,0.0,0.0,0.0,-0.26918065172028227,0.0,0.07727476716278227,0.2857142857142857,90
AXTI,0.4418201630556895,0.0,0.0,0.0,-0.15689087834480447,0.0,0.292142402705566,0.2857142857142857,90
BANF,0.06828819678686421,0.0,0.0,0.0,-0.10840083807264017,0.0,0.02411593807198811,0.2857142857142857,89
BBCP,0.14683896504321828,0.0,0.0,0.0,-0.21301403336484911,0.0,0.056875715441201416,0.2857142857142857,90
BBT,0.22610077887183092,0.0,0.0,0.0,-0.09327899493037002,0.0,0.14625583542128068,0.2857142857142857,90
BCOR,0.10572094236683899,0.0,0.0,0.0,-0.8462936692564376,0.0,-0.1322827105389802,0.2857142857142857,86
BCPC,0.15788365176405814,0.0,0.0,0.0,-0.1453931570833394,0.0,0.08206444955220875,0.2857142857142857,90
BDJ,0.15613771379840236,0.0,0.0,0.0,-0.1352025584159714,0.0,0.08330264574480892,0.2857142857142857,90
BFAM,0.1754409097052475,0.0,0.0,0.0,-0.0269476521416788,0.0,0.12484376924351591,0.2857142857142857,90
BFLY,0.3823256091302105,0.0,0.0,0.0,0.6602570627032923,0.0,0.45180847252348094,0.2857142857142857,90
BHFAN,0.21102305639772975,0.0,0.0,0.0,-0.042088444331382736,0.0,0.14774518121545163,0.2857142857142857,88
BKN,0.12205142072542818,0.0,0.0,0.0,-0.07724519237228167,0.0,0.07222726745100072,0.2857142857142857,89
BKU,0.2679155844868822,0.0,0.0,0.0,0.03538345242509304,0.0,0.20978255147143487,0.2857142857142857,90
BLD,0.21419971233128787,0.0,0.0,0.0,-0.14112793384196093,0.0,0.1253678007879757,0.2857142857142857,90
BLDR,0.10765027647041611,0.0,0.0,0.0,-0.3753278234952849,0.0,-0.013094248521009143,0.2857142857142857,90
BLKB,0.09456957078407643,0.0,0.0,0.0,-0.24437242737024334,0.0,0.009834071245496486,0.2857142857142857,90
BLTE,0.4443857740782886,0.0,0.0,0.0,0.3621350708041706,0.0,0.4238230982597591,0.2857142857142857,89
BNED,0.11783236259129518,0.0,0.0,0.0,-0.46318213707911365,0.0,-0.027421262326307042,0.2857142857142857,90
AAP,0.16563837748244845,0.0,0.0,0.0,-0.01541859494090173,0.0,0.12037413437661089,0.2857142857142857,90
ABUS,0.1787628225080753,0.0,0.0,0.0,-0.2930194025439615,0.0,0.060817266245066066,0.2857142857142857,90
ACIC,0.09453116048319797,0.0,0.0,0.0,-0.24216120321031162,0.0,0.010358069559820557,0.2857142857142857,90
ACM,0.19010585855949916,0.0,0.0,0.0,-0.6495905398725066,0.0,-0.019818241048502303,0.2857142857142857,90
ADBE,0.09006553700073741,0.0,0.0,0.0,-0.22872362677907748,0.0,0.010368246055783683,0.2857142857142857,90
ADUS,0.14250047285932338,0.0,0.0,0.0,-0.08104926362880656,0.0,0.0866130387372909,0.2857142857142857,90
AFCG,0.07123709958212546,0.0,0.0,0.0,-0.5406655144012158,0.0,-0.08173855391370988,0.2857142857142857,90
AFL,0.3557774742665082,0.0,0.0,0.0,-0.2379980633165609,0.0,0.2073335898707409,0.2857142857142857,90
AIM,0.08150244994066905,0.0,0.0,0.0,-0.4993103976355762,0.0,-0.06370076195339229,0.2857142857142857,89
AIRI,0.12242048606820172,0.0,0.0,0.0,-0.31372823614657513,0.0,0.013383305514507492,0.2857142857142857,89
ALBT,0.0016041541170528997,0.0,0.0,0.0,-0.7785453640552634,0.0,-0.1934332254260262,0.2857142857142857,89
ALDX,0.1918386929433437,0.0,0.0,0.0,-0.17222256054091323,0.0,0.10082337957227948,0.2857142857142857,90
ALE,0.23193293144162633,0.0,0.0,0.0,-0.0018541846287899503,0.0,0.17348615242402227,0.2857142857142857,90
ALEX,0.1644951497338722,0.0,0.0,0.0,-0.17156148033530963,0.0,0.08048099221657674,0.2857142857142857,90
ALGT,0.2174276921995819,0.0,0.0,0.0,-0.3409876884157611,0.0,0.07782384704574614,0.2857142857142857,90
ALRM,0.10508735842214646,0.0,0.0,0.0,-0.21941103458705277,0.0,0.023962760169846647,0.2857142857142857,90
AMH,0.10829844214667514,0.0,0.0,0.0,-0.012629577884337802,0.0,0.0780664371389219,0.2857142857142857,90
AMPG,0.17802239704037137,0.0,0.0,0.0,0.6031687894465678,0.0,0.2843089951419205,0.2857142857142857,90
ARLP,0.15586844569412758,0.0,0.0,0.0,-0.23333606972358514,0.0,0.05856731683969939,0.2857142857142857,90
ASIX,0.07149156696694968,0.0,0.0,0.0,-0.501331900154314,0.0,-0.07171429981336626,0.2857142857142857,90
ASPCU,0.3247659859960968,0.0,0.0,0.0,-0.13607643853966958,0.0,0.2095553798621552,0.2857142857142857,86
ASTH,0.1304521397907124,0.0,0.0,0.0,0.02736542868345942,0.0,0.10468046201389916,0.2857142857142857,90
ATRO,0.2899108506361964,0.0,0.0,0.0,0.015760338189589822,0.0,0.22137322252454475,0.2857142857142857,90
AVT,0.0559891420662892,0.0,0.0,0.0,-0.15909897064162895,0.0,0.002217113889309661,0.2857142857142857,90
AXL,0.2787150571281621,0.0,0.0,0.0,-0.0040160426657722785,0.0,0.20803228217967848,0.2857142857142857,90
