symbol,alpha_factors_score,ml_features_score,technical_score,fundamental_score,sentiment_score,ml_predictor_score,composite_score,confidence,num_factors_computed
ADT,0.12182324980865308,0.0,0.0,0.0,-0.2952390504778309,0.0,0.017557674737032087,0.2857142857142857,90
AIMD,0.15001200320415112,0.0,0.0,0.0,-0.7991132184001473,0.0,-0.08726930219692351,0.2857142857142857,89
AIRS,0.11199729574910303,0.0,0.0,0.0,-0.9024361298295148,0.0,-0.14161106064555148,0.2857142857142857,90
ALGT,0.23266357808877172,0.0,0.0,0.0,-0.3409876884157611,0.0,0.08925076146263851,0.2857142857142857,90
ALKT,0.12588978438323112,0.0,0.0,0.0,0.20144107141232453,0.0,0.14477760614050447,0.2857142857142857,90
ALX,0.12855083561904163,0.0,0.0,0.0,-0.1703276276415701,0.0,0.053831219803888684,0.2857142857142857,89
AMPY,0.346056796973796,0.0,0.0,0.0,-0.2849605811659645,0.0,0.18830245243885582,0.2857142857142857,90
ARAY,0.07509430809172342,0.0,0.0,0.0,-0.6715239282944881,0.0,-0.1115602510048295,0.2857142857142857,90
ATKR,0.2422078686415173,0.0,0.0,0.0,0.13840218455452596,0.0,0.21625644761976945,0.2857142857142857,90
BCAL,0.2961058083161407,0.0,0.0,0.0,-0.15426715296466192,0.0,0.18351256799594004,0.2857142857142857,90
BFZ,0.11096173249467724,0.0,0.0,0.0,-0.03656348282011434,0.0,0.07408042866597934,0.2857142857142857,89
BHFAO,0.25130910074198304,0.0,0.0,0.0,-0.0970761588871711,0.0,0.16421278583469448,0.2857142857142857,89
BKHAR,0.004618625315503179,0.0,0.0,0.0,0.0,0.0,0.003463968986627384,0.2857142857142857,73
BZUN,0.09985150734710785,0.0,0.0,0.0,-0.20875035399629494,0.0,0.022701042011257142,0.2857142857142857,90
CAAS,0.1501491399893147,0.0,0.0,0.0,-0.3167713956558177,0.0,0.03341900607803159,0.2857142857142857,86
CERS,0.3238523102768337,0.0,0.0,0.0,-0.3027097293321085,0.0,0.16721180037459815,0.2857142857142857,90
CHSCM,0.19675836558835622,0.0,0.0,0.0,-0.009979708592053462,0.0,0.1450738470432538,0.2857142857142857,89
CMCM,0.025199031776948516,0.0,0.0,0.0,-0.3166045481064687,0.0,-0.060251863193905804,0.2857142857142857,86
CNOBP,0.10903061357058944,0.0,0.0,0.0,-0.06604674639950349,0.0,0.06526127357806621,0.2857142857142857,82
COR,0.3594938253903712,0.0,0.0,0.0,-0.06297566850168675,0.0,0.25387645191735675,0.2857142857142857,90
CRDO,0.23838069631957098,0.0,0.0,0.0,-0.040883429194773606,0.0,0.16856466494098485,0.2857142857142857,90
